"Time","Distance","Damper Pos FL","Damper Pos FR","Damper Pos RL","Damper Pos RR","Engine RPM","Throttle Pos","Steered Angle","G Force Lat","G Force Long","G Force Vert","Wheel Speed FL","Wheel Speed FR","Wheel Speed RL","Eng Oil Pres","Eng Oil Temp","Engine Temp","Eng Coolant Pres","Tyre Temp FL","Tyre Temp FR","Tyre Temp RL","Tyre Temp RR","Lap Distance","Lap Gain/Loss Running","Lap Time","Lap Number","Running Lap Time","Bat Volts ADL","Brake Pres Front","Up Shift Light 1","Up Shift Light 2","Down Shift Light"
"s","m","mm","mm","mm","mm","rpm","%","deg","G","G","G","km/h","km/h","km/h","kPa","C","C","kPa","C","C","C","C","m","s","s","","s","V","kPa","","",""


"0.000","0","-11.9","-10.1","-14.1","-11.2","2490","-1.0","0.2","-0.04","-0.06","-0.04","0.0","0.0","0.0","471.9","112.7","91.8","97.9","19.3","26.7","16.2","46.8","0","0.00","0.00","0","0.00","13.54","0","0","0","1"
"0.010","0","-11.9","-10.1","-14.1","-11.2","2492","-1.0","0.2","-0.04","-0.06","-0.04","0.0","0.0","0.0","473.6","112.7","91.8","97.9","19.3","26.7","16.1","47.0","0","0.00","0.00","0","0.00","13.54","0","0","0","1"
"0.020","0","-11.9","-10.1","-14.1","-11.2","2495","-1.0","0.2","-0.04","-0.06","-0.04","0.0","0.0","0.0","475.2","112.7","91.8","97.9","19.3","26.7","16.1","47.2","0","0.00","0.00","0","0.00","13.54","0","0","0","1"
"0.029","0","-11.9","-10.1","-13.9","-11.2","2497","-1.0","0.2","-0.04","-0.07","-0.05","0.0","0.0","0.0","476.9","112.7","91.8","97.9","19.3","26.7","16.0","47.4","0","0.00","0.00","0","0.00","13.54","0","0","0","1"
"0.039","0","-11.9","-10.1","-13.9","-11.2","2500","-1.0","0.2","-0.04","-0.07","-0.05","0.0","0.0","0.0","478.5","112.7","91.8","97.9","19.3","26.7","16.0","47.6","0","0.00","0.00","0","0.00","13.54","0","0","0","1"
"0.049","0","-11.9","-10.1","-13.9","-11.2","2502","-1.0","0.2","-0.04","-0.07","-0.05","0.0","0.0","0.0","480.2","112.7","91.8","97.9","19.3","26.7","15.9","47.9","0","0.00","0.00","0","0.00","13.54","0","0","0","1"
"0.059","0","-11.9","-10.1","-14.1","-11.2","2520","-1.0","0.2","-0.04","-0.07","-0.05","0.0","0.0","0.0","481.9","112.7","91.8","97.9","19.3","26.7","15.8","48.1","0","0.00","0.00","0","0.00","13.53","0","0","0","1"
